English,Bangla
tom ate ,টম খ য ছ ।
tom ran ,টম দ ড ল।
tom ran ,টম দ ড ছ ল।
tom won ,টম জ তল।
wake up ,ঘ ম থ ক ওঠ।
wake up ,ঘ ম থ ক উঠ ন।
we lost ,আমর হ র গ ছ ।
we lost ,আমর হ র গ ছ ল ম।
welcome ,স ব গতম।
welcome ,স স ব গতম।
welcome ,স ব গত।
who ate?,ক খ য ছ ল?
who ate?,ক খ য ছ ল ন?
who ate?,ক খ য ছ ?
who ate?,ক খ য ছ ন?
who ran?,ক দ ড ল?
who ran?,ক দ ড ছ ল?
who ran?,ক দ ড ল ন?
who ran?,ক দ ড ছ ল ন?
who won?,ক জ তল?
who won?,ক জ ত ছ ল?
why not?,ক ন নয ?
you run ,ত ম দ ড ও।
you run ,ত মর দ ড ও।
you run ,আপন দ ড ন।
you run ,আপন র দ ড ন।
you won ,আপন জ তল ন।
you won ,ত ম জ তল ।
be quiet ,চ প কর।
be quiet ,চ প কর ।
be quiet ,চ প কর ন।
call tom ,টমক ড ক ।
call tom ,টমক ড ক ন।
call tom ,টমক ফ ন কর ।
call tom ,টমক ফ ন কর ন।
don t go ,য ও ন ।
don t go ,য ব ন ন ।
don t go ,য স ন ।
find tom ,টমক খ জ ।
find tom ,টমক খ জ ন।
find tom ,টমক খ জ স।
get lost!,য ও এখ ন থ ক !
get lost!,য ন এখ ন থ ক !
get lost!,য এখ ন থ ক !
grab tom ,টমক ধর ।
grab tom ,টমক ধর ন।
have fun ,আনন দ কর।
have fun ,মজ কর।
have fun ,আনন দ কর ন।
have fun ,মজ কর ন।
he spoke ,উন বলল ন।
he spoke ,স বলল ।
he spoke ,ও বলল ।
he spoke ,ত ন বলল ন।
he tries ,উন চ ষ ট কর ন।
he tries ,ত ন চ ষ ট কর ন।
he tries ,ও চ ষ ট কর ।
he tries ,স চ ষ ট কর ।
help tom ,টমক স হ য য কর ।
help tom ,টমক স হ য য কর ন।
how deep?,কতট গভ র?
hurry up ,ত ড ত ড কর ।
hurry up ,ত ড ত ড কর।
hurry up ,ত ড ত ড কর ন।
i can go ,আম য ত প র ।
i forgot ,আম ভ ল গ ছ ।
i get it ,আম ব ঝত প রল ম।
i got it ,আম ব ঝ ছ ।
i got it ,আম ব ঝ গ ছ ।
i jumped ,আম ল ফ য ছ ল ম।
i refuse ,আম অস ব ক র করছ ।
i stayed ,আম থ কল ম।
i stayed ,আম থ ক গ ল ম।
i use it ,আম এট ব যবহ র কর ।
i waited ,আম অপ ক ষ করল ম।
i m back ,আম এস গ ছ ।
i m back ,আম ফ র এস ছ ।
i m busy ,আম ব যস ত।
i m cold ,আম র শ ত করছ ।
i m fine ,আম ঠ ক আছ ।
i m full ,আম র প ট ভরত হয গ ছ ।
i m home ,আম এস গ ছ ।
i m lazy ,আম ক ড ।
i m lazy ,আম অলস।
i m lost ,আম হ র য গ ছ ।
i m okay ,আম ঠ ক আছ ।
i m poor ,আম গর ব।
i m rich ,আম ধন ।
i m rich ,আম বড ল ক।
i m sick ,আম অস স থ।
i m well ,আম ভ ল আছ ।
i ve won ,আম জ ত গ ছ ।
it s new ,এট নত ন।
kiss tom ,টমক চ ম কর ন।
kiss tom ,টমক চ ম কর ।
leave it ,ছ ড ।
leave it ,ছ ড ।
leave it ,ছ ড ন।
leave me ,আম ক চ ড দ ও।
leave me ,আম ক চ ড দ ন।
leave me ,আম ক চ ড দ ।
leave us ,আম দ র চ ড দ ও।
leave us ,আম দ র চ ড দ ন।
leave us ,আম দ র চ ড দ ।
let s go!,য ওয য ক!
let s go!,চল য ই!
let s go ,য ওয য ক।
let s go ,চল য ই।
say what?,ক ?
sit down!,বস !
sit down!,বস!
sit down!,বস ন!
sit down ,বস ন।
sit down ,বস।
sit down ,বস ।
sit here ,এখ ন বস ন।
sit here ,এখ ন বস ।
sit here ,এখ ন বস।
speak up!,জ র বল !
speak up!,জ র বল!
stand up!,দ ড ও!
stand up!,দ ড !
stand up!,দ ড ন!
stand up ,দ ড ও।
stand up ,দ ড ।
stand up ,দ ড ন।
stop tom ,টমক থ ম ন।
stop tom ,টমক থ ম ও।
stop tom ,টমক আটক ও।
stop tom ,টমক আটক ন।
tell tom ,টমক বল ।
tell tom ,টমক বল ন।
terrific!,দ র ন!
they won ,ত র জ তল ।
they won ,ওন র জ তল ন।
they won ,ওর জ তল ।
they won ,ত র জ তল ।
tom came ,টম এল ।
tom came ,টম এস ছ ল ।
tom died ,টম ম র গ ছ ।
tom died ,টম ম র গ ল ।
tom knew ,টম জ নত ।
tom lied ,টম ম থ য কথ বলল ।
tom lies ,টম ম থ য বল ।
tom lost ,টম হ র গ ল ।
tom wept ,টম ক দল ।
trust me ,আম ক ব শ ব স কর ।
trust me ,আম ক ব শ ব স কর।
trust me ,আম ক ব শ ব স কর ন।
try hard ,আরও চ ষ ট কর ।
try hard ,আরও চ ষ ট কর।
try hard ,আরও চ ষ ট কর ন।
use this ,এট ব যবহ র কর।
use this ,এট ব যবহ র কর ।
use this ,এট ব যবহ র কর ন।
we agree ,আমর একমত।
we tried ,আমর চ ষ ট কর ছ ল ম।
we ll go ,আমর য ব ।
what for?,ক জন য ?
what for?,ক ক রন ?
what fun!,ক মজ !
who came?,ক এস ছ ল ?
who came?,ক ক এস ছ ল ?
who came?,ক এল ?
who fell?,ক পড ল ?
who s he?,উন ক ?
who s he?,ও ক ?
who s he?,স ক ?
who s he?,ত ন ক ?
answer me ,আম র প রশ ন র জব ব দ ন।
answer me ,আম র প রশ ন র জব ব দ ও।
answer me ,উত তর দ ন।
answer me ,উত তর দ ও।
birds fly ,প খ ওড ।
calm down ,শ ন ত হ ন।
calm down ,শ ন ত হও।
can i eat?,আম ক খ ত প র ?
come back ,ফ র আস ন।
come back ,ফ র আস ।
come back ,ফ র আস স।
come here ,এখ ন আস ন।
come here ,এখ ন আস ।
come here ,এখ ন আস স।
come here ,এখ ন আস ন!
don t ask ,জ জ ঞ স কর ন ন ।
don t ask ,জ জ ঞ স কর ন ।
don t ask ,জ জ ঞ স কর স ন ।
don t cry ,ক দ ন ।
go inside ,ভ তর য ন।
go inside ,ভ তর য ও।
how weird!,ক অদ ভ ত!
i am cold ,আম র শ ত করছ ।
i am okay ,আম ঠ ক আছ ।
i am sick ,আম অস স থ।
i am well ,আম ভ ল আছ ।
i can run ,আম দ ড ত প র ।
i can ski ,আম স ক করত প র ।
i fainted ,আম অজ ঞ ন হয গ ল ম।
i fainted ,আম অজ ঞ ন হয গ য ছ ল ম।
i hit tom ,আম টমক ম রল ম।
i saw him ,আম ত ক দখত প ল ম।
i saw him ,আম ওন ক দখত প ল ম।
i want it ,আম র এট চ ই।
i will go ,আম য ব ।
i ll cook ,আম র ন ন করব ।
i ll sing ,আম গ ব ।
i ll talk ,আম কথ বলব।
i ll wait ,আম অপ ক ষ করব ।
i ll walk ,আম হ টব ।
i m awake ,আম জ গ আছ ।
i m broke ,আম দ উল য হয গ ছ ।
i m clean ,আম পর ষ ক র।
i m ready ,আম ত র ।
i m right ,আম ই ঠ ক।
i m right ,আম ঠ ক।
i m sorry ,ক ষম করব ন।
i m tired ,আম ক ল ন ত।
i m yours ,আম ত ম র।
i m yours ,আম আপন র।
i m yours ,আম ত র।
it s 7 45 ,এখন ।
it s late ,দ র হয গ ছ ।
it s mine ,এট আম র।
it s ours ,এট আম দ র।
leave tom ,টমক ছ ড ।
leave tom ,টমক ছ ড ন।
leave tom ,টম র কথ ছ ড ।
leave tom ,টম র কথ ছ ড ন।
let me go!,আম ক য ত দ ও!
let me in ,আম ক ঢ কত দ ন।
let me in ,আম ক ঢ কত দ ও।
let us in ,আম দ র ঢ কত দ ন।
let s ask ,জ জ ঞ স কর য ক।
may i eat?,আম ক খ ত প র ?
of course!,ন শ চই!
of course!,অবশ যই!
of course ,ন শ চই।
of course ,অবশ যই।
of course ,ন শ চয ই।
pardon me?,ক বলল ন?
pardon me?,ক বলল ?
see above ,উপর দ খ ন।
see below ,ন চ দ খ ন।
she walks ,উন হ ট ন।
she walks ,স হ ট ।
she walks ,ও হ ট ।
she walks ,ত ন হ ট ন।
sign here ,এখ ন সই কর ন।
sit there ,ওখ ন বস ন।
sit there ,ওখ ন বস ।
sit there ,ওখ ন বস।
sit there ,স খ ন বস ন।
sit there ,স খ ন বস ।
sit there ,স খ ন বস।
slow down ,আস ত চ ল ন।
start now ,এখন শ র কর ন।
start now ,এখন শ র কর ।
start now ,এখন শ র কর।
stay here ,এখ ন দ ড ন।
stay here ,এখ ন দ ড ও।
stop here ,এখ ন থ ম ন।
stop here ,এখ ন থ ম ।
stop here ,এখ ন থ ম।
take care!,ন জ র যত ন ন ও!
then what?,ত হল ?
then what?,ত হল আব র ক ?
tom cried ,টম ক দল ।
tom drove ,টম চ ল ল ।
tom knows ,টম জ ন ।
tom tried ,টম চ ষ ট করল ।
tom tries ,টম চ ষ ট কর ।
tom voted ,টম ভ ট দ ল ।
tom walks ,টম হ ট ।
tom s shy ,টম ল জ ক।
trust tom ,টমক ব শ ব স কর ন।
trust tom ,টমক ব শ ব স কর ।
try again ,আব র চ ষ ট কর ন।
try again ,আব র চ ষ ট কর ।
turn left ,ব দ ক ঘ র ন।
turn left ,ব দ ক ঘ র ।
wait here ,এখ ন অপ ক ষ কর ন।
wait here ,এখ ন অপ ক ষ কর ।
watch tom ,টম র উপর নজর র খ ।
watch tom ,টম র উপর নজর র খ ন।
watch out!,দ খ !
watch out!,স বধ ন !
we failed ,আমর অসফল হল ম।
we forgot ,আমর ভ ল গ ল ম।
we saw it ,আমর দ খ ছ ।
we ll try ,আমর চ ষ ট করব।
we ll win ,আমর ই জ তব।
we ll win ,আমর জ তবই।
we re shy ,আমর ল জ ক।
what s up?,ক খবর?
who cares?,ক র ক এস য য ?
who is he?,উন ক ?
who is he?,ও ক ?
who is he?,স ক ?
who is he?,ত ন ক ?
who is it?,ক ?
who s she?,উন ক ?
who s she?,ও ক ?
who s she?,স ক ?
who s she?,ত ন ক ?
wonderful!,দ র ন!
you drive ,আপন ই চ ল ন।
you drive ,ত ম চ ল ও।
be careful ,স বধ ন ।
birds sing ,প খ গ ন গ য ।
bring food ,খ ব র আন ।
bring food ,খ ব র আন ন।
come again ,আব র আসব ন।
come again ,আব র এস ।
come quick!,জলদ আস ন!
come quick!,জলদ আস !
come quick!,জলদ আস স!
definitely!,ন শ চই!
definitely!,একদম!
don t come ,এস ন ।
don t come ,আসব ন ন ।
don t come ,আস স ন ।
don t jump!,ল ফ ও ন !
don t jump!,ল ফ ন ন !
don t jump!,ল ফ স ন !
don t look ,দ খ ন !
don t look ,দ খ ন ন !
don t look ,দ খ স ন !
don t move!,সর ন !
don t move!,সর ন ন !
don t move!,সর স ন !
don t sing ,গ ও ন ।
don t sing ,গ স ন ।
don t sing ,গ ন ন ।
don t stop ,থ ম ন ।
don t stop ,থ ম ন ন ।
don t stop ,থ ম স ন ।
don t talk!,কথ বলব ন ন !
don t talk!,কথ বল স ন !
don t talk!,কথ ব ল ন !
don t talk ,কথ ব ল ন ।
don t talk ,কথ বল স ন ।
don t talk ,কথ বলব ন ন ।
don t wait ,অপ ক ষ করব ন ন ।
don t wait ,অপ ক ষ করব ন ।
don t wait ,অপ ক ষ করব ন ।
don t yell ,চ ক র করব ন ন !
don t yell ,চ ক র ক র ন !
don t yell ,চ ক র কর স ন !
fill it up ,ভর ত কর দ ন।
follow tom ,টমক অন সরণ কর ।
follow tom ,টমক অন সরণ কর ন।
follow tom ,টম র প ছন প ছন য ন।
follow tom ,টম র প ছন প ছন য ও।
follow tom ,টম র প ছ ন ন।
follow tom ,টম র প ছ ন ও।
forget tom ,টমক ভ ল য ও।
forget tom ,টমক ভ ল য ন।
forget him ,ওক ছ ড ন।
forget him ,ওন ক ছ ড ন।
forget him ,ওক ছ ড ।
forget him ,ওন ক ছ ড ।
forget him ,ত ক ছ ড ।
forget him ,ত ক ছ ড ন।
god exists ,ভগব ন আছ ।
good night ,শ ভ র ত র ।
he is nice ,উন ব শ।
i am ready ,আম ত র ।
i can read ,আম পড ত প র ।
i can swim ,আম স ত র ক টত প র ।
i eat here ,আম এখ ন খ ই।
i eat meat ,আম ম স খ ই।
i got sick ,আম অস স থ হয পর ছ ল ম।
i hate you ,আম আপন ক ঘ ণ কর ।
i have one ,আম র একট আছ ।
i have won ,আম জ ত গ ছ ।
i heard it ,আম শ ন ছ ।
i just ate ,আম এই সব খ ল ম।
i just ate ,আম এখনই খ ল ম।
i like him ,আম ওন ক পছন দ কর ।
i like him ,আম ওক পছন দ কর ।
i like him ,আম ত ক পছন দ কর ।
i like him ,আম র ওন ক ভ ল ল গ ।
i like him ,আম র ত ক ভ ল ল গ ।
i like him ,আম র ওক ভ ল ল গ ।
i like tea ,আম চ পছন দ কর ।
i like tea ,আম র চ ভ ল ল গ ।
i love you ,আম ত ম ক ভ লব স ।
i love you ,আম ত ম য ভ ল ব স ।
i need ice ,আম র বরফ চ ই।
i promised ,আম প রত শ র ত দ ল ম।
i ran away ,আম প ল য গ ছ ল ম।
i ran home ,আম ব ড প ল য গ ছ ল ম।
i sat down ,আম বস পর ছ ল ম।
i saw that ,আম স ট দ খ ছ ল ম।
i saw that ,আম ওট দ খ ছ ল ম।
i saw them ,আম ত দ র দ খত প ল ম।
i saw them ,আম ওদ র দ খত প ল ম।
i saw them ,আম ত দ র দ খত প ল ম।
i saw them ,আম ওন দ র দ খত প ল ম।
i screamed ,আম চ ক র করল ম।
i screamed ,আম চ চ ল ম।
i was away ,আম ব ইর ছ ল ম।
i was away ,আম ব ইর গ ছ ল ম।
i was late ,আম র দ র হয গ ছ ল।
i was lost ,আম হ র য গ ছ ল ম।
i ll drive ,আম চ ল ব ।
i ll stand ,আম দ ড ব ।
i ll start ,আম শ র করব ।
i m coming ,আম আসছ ।
i m eating ,আম খ চ ছ ।
i m for it ,আম এর পক ষ ।
i m inside ,আম ভ তর আছ ।
i m inside ,আম ভ তর ।
i m so mad ,আম একদম প গল।
is it here?,ওট ক এখ ন আছ ?
is that so?,ত ই ব ঝ ?
keep quiet!,চ প কর !
keep quiet!,চ প কর!
keep quiet ,চ প কর।
keep quiet ,চ প কর ।
leave town ,শহর ছ ড !
let s chat ,গল প কর য ক।
let s talk ,কথ বল য ক।
let s walk ,হ ট য ক।
look there ,ওইদ ক দ খ ন।
look there ,ওইদ ক দ খ ।
never mind!,ছ ড !
never mind!,ছ ড !
no problem!,ক ন অস ব ধ ন ই!
no problem ,ক ন অস ব ধ ন ই।
oh really?,ও ত ই ন ক ?
once again ,আর একব র।
she smiled ,স হ সল ।
she smiled ,উন হ সল ন।
she smiled ,ত ন হ সল ন।
she smiled ,ও হ সল ।
start here ,এখ ন শ র কর ন।
start here ,এখ ন শ র কর ।
start here ,এখ ন শ র কর।
stay there ,ওখ ন ই থ ক ।
stay there ,ওখ ন ই থ ক ন।
step aside ,সর য ন।
step aside ,সর য ও।
stop there ,ওখ ন ই থ ম ন।
stop there ,ওখ ন ই থ ম ।
that s tom ,ওট টম।
that s tom ,স ট টম।
this works ,এট ক জ কর ।
time is up ,সময শ ষ।
time is up ,সময শ ষ হয গ ছ ।
tom burped ,টম ঢ ক র ত ল ল ।
tom danced ,টম ন চল ।
tom drives ,টম চ ল য ।
tom helped ,টম স হ য য করল ।
tom jumped ,টম ল ফ দ ল ।
tom nodded ,টম ম থ ন ড ল ।
tom saw it ,টম স ট দ খল ।
tom saw it ,টম ওট দ খল ।
tom saw it ,টম এট দ খল ।
tom sighed ,টম দ র ঘশ ব স ছ ড ল ।
tom smiled ,টম হ সল ।
tom snores ,টম ন ক ড ক ।
tom winked ,টম চ খ ম রল ।
tom yawned ,টম হ ই ত লল ।
tom yelled ,টম চ ক র করল ।
tom yelled ,টম চ চ ল ।
tom s dead ,টম ম ত।
tom s deaf ,টম বধ র।
tom s died ,টম ম র গ ছ ।
tom s here ,টম এখ ন ।
tom s hurt ,টম আহত হয ছ ।
tom s hurt ,টম আহত।
tom s sick ,টম অস স থ।
tom s sick ,টম র শর র খ র প।
tom s sick ,টম র অস খ হয ছ ।
turn right ,ড নদ ক ঘ র ।
turn right ,ড নদ ক ঘ র ন।
wait a sec ,এক স ক ন ড অপ ক ষ কর ।
watch this ,এট দ খ ন।
watch this ,এট দ খ ।
we want it ,আম র এট চ ই।
we ll help ,আমর স হ য য করব।
we ll sing ,আমর গ ন করব ।
we ll wait ,আমর অপ ক ষ করব।
we ll work ,আমর ক জ করব ।
we re here ,আমর এখ ন আছ ।
we re here ,আমর এখ ন ।
we re lost ,আমর হ র য গ ছ ।
who are we?,আমর ক র ?
who has it?,ক র ক ছ আছ ?
who is she?,উন ক ?
who is she?,ও ক ?
who is she?,স ক ?
who is she?,ত ন ক ?
who was it?,ক ছ ল ?
who s that?,ওট ক ?
you called?,আপন ড ক ছ ল ন?
you called?,ত ম ড ক ছ ল ?
you called?,আপন ফ ন কর ছ ল ন?
you called?,ত ম ফ ন কর ছ ল ?
are we done?,আম দ র ক হয গ ছ ?
are we done?,হয গ ছ ?
contact tom ,টম র সঙ গ য গ য গ কর ন।
contact tom ,টম র সঙ গ য গ য গ কর ।
cook for me ,আম র জন য র ন ন কর ন।
did tom eat?,টম ক খ য ছ ?
do it again!,আব র কর ন!
do it again!,আব র কর!
don t argue ,তর ক করব ন ন ।
don t argue ,তর ক ক র ন ।
don t fight ,লড ই করব ন ন ।
don t fight ,ঝগড করব ন ন ।
don t fight ,ঝগড ক র ন ।
don t fight ,লড ই ক র ন ।
don t shout ,চ ক র করব ন ন !
don t shout ,চ ক র ক র ন !
don t shout ,চ ক র কর স ন !
don t speak ,কথ ব ল ন ।
don t speak ,কথ বল স ন ।
don t speak ,কথ বলব ন ন ।
don t stand ,দ ড ও ন ।
don t stand ,দ ড স ন ।
don t stand ,দ ড ন ন ।
forgive tom ,টমক ক ষম কর দ ন।
forgive tom ,টমক ক ষম কর দ ও।
he can come ,উন আসত প র ন।
he can come ,ও আসত প র ।
he can come ,স আসত প র ।
he can come ,ত ন আসত প র ন।
he can read ,উন পড ত প র ন।
he can read ,ও পড ত প র ।
he can read ,স পড ত প র ।
he is alone ,স এক ।
he stood up ,উন উঠ দ ড ল ন।
he stood up ,স উঠ দ ড ল ।
he stood up ,ত ন উঠ দ ড ল ন।
he stood up ,ও উঠ দ ড ল ।
how are you?,আপন ক মন আছ ন?
how are you?,ত ম ক মন আছ ?
how are you?,ত ই ক মন আছ স?
i also went ,আম ও গ ছ ল ম।
i am coming ,আম আসছ ।
i am taller ,আম ব শ লম ব ।
i apologize ,আম ক ষম চ ইছ ।
i came back ,আম ফ র এল ম।
i can dance ,আম ন চত প র ।
i can t say ,আম ঠ ক বলত প রব ন ।
i can t see ,আম দ খত প ই ন ।
i don t cry ,আম ক দ ন ।
i eat bread ,আম প উর ট খ ই।
i feel cold ,আম র শ ত করছ ।
i feel cold ,আম র ঠ ন ড ল গছ ।
i feel fine ,আম র ভ ল ল গছ ।
i feel good ,আম র ভ ল ল গছ ।
i feel sick ,আম অস স থ ব ধ করছ ।
i feel weak ,আম দ র বল অন ভব করছ ।
i feel well ,আম র ভ ল ল গছ ।
i fell down ,আম পড গ য ছ ল ম।
i felt that ,আম ওট অন ভব করল ম।
i fired tom ,আম টমক বরখ স ত কর ছ ।
i had a cat ,আম র একট ব ড ল ছ ল ।
i have time ,আম র সময আছ ।
i know this ,আম এট জ ন ।
i like both ,আম র দ ট ই পছন দ।
i like cake ,আম ক ক পছন দ কর ।
i like cake ,আম র ক ক ভ ল ল গ ।
i like math ,আম র অঙ ক ভ ল ল গ ।
i like math ,আম অঙ ক পছন দ কর ।
i like rice ,আম ভ ত পছন দ কর ।
i live here ,আম এখ ন ব স কর ।
i live here ,আম এখ ন থ ক ।
i live here ,আম এখ ন বসব স কর ।
i need help ,আম র স হ য য দরক র।
i need time ,আম র সময দরক র।
i trust tom ,আম টমক ব শ ব স কর ।
i trust you ,আম আপন ক ব শ ব স কর ।
i trust you ,আম ত ম ক ব শ ব স কর ।
i want more ,আম র আর চ ই।
i want this ,আম র এট চ ই।
i want this ,এট আম র প রয জন।
i want time ,আম র সময চ ই।
i was alone ,আম এক ছ ল ম।
i was there ,আম ওখ ন ছ ল ম।
i was tired ,আম ক ল ন ত ছ ল ম।
i went too ,আম ও গ ছ ল ম।
i won t lie ,আম ম থ য বলব ন ।
i work here ,আম এখ ন ক জ কর ।
i ll buy it ,আম এট ক নব ।
i ll scream ,আম চ ক র করব ।
i ll scream ,আম চ চ ব ।
i m 17 too ,আম ও ।
i m a woman ,আম একজন মহ ল ।
i m dancing ,আম ন চছ ।
i m healthy ,আম স স থ।
i m married ,আম ব ব হ ত।
i m not tom ,আম টম নই।
i m reading ,আম পড ছ ।
i m talking ,আম কথ বলছ ।
i m thirsty ,আম র ত ষ ট প য ছ ।
is tom here?,টম ক এখ ন আছ ?
is tom home?,টম ক ব ড ত আছ ?
is tom well?,টম ক ভ ল আছ ?
is that all?,অ র ক ছ ?
it can t be!,এট হত প র ন !
it can t be!,হত ই প র ন !
it may rain ,ব ষ ট পরত প র ।
it may snow ,বরফ পরত প র ।
it was good ,এট ভ ল ছ ল।
let me help ,আম য স হ য য করত দ ও।
look at tom ,টম র দ ক ত ক ন।
look at tom ,টম র দ ক ত ক ও।
many thanks ,অন ক ধন যব দ।
say my name ,আম র ন ম বল ।
take my car ,আম র গ ড ন য য ন।
talk slowly ,ধ র কথ বল ।
that s mine ,ওট আম র।
they yelled ,ত র চ ক র করল ।
they yelled ,ত র চ ক র করল ন।
they yelled ,ওর চ ক র করল ।
they yelled ,ওন র চ ক র করল ন।
they yelled ,ওন র চ চ ল ন।
they yelled ,ওর চ চ ল ।
they yelled ,ত র চ চ ল ।
they yelled ,ত র চ চ ল ন।
this is new ,এট নত ন।
tom clapped ,টম হ তত ল দ ল ।
tom coughed ,টম ক শল ।
tom frowned ,টম ভ র ক ট করল ।
tom frowned ,টম ভ র ক চক ল ।
tom got mad ,টম র গ গ ছ ল ।
tom inhaled ,টম ন শ ব স ছ ড ল ।
tom is dead ,টম ম ত।
tom is here ,টম এখ ন ।
tom is hurt ,টম আহত হয ছ ।
tom is hurt ,টম আহত।
tom is sick ,টম অস স থ।
tom is sick ,টম র শর র খ র প।
tom is sick ,টম র অস খ হয ছ ।
tom laughed ,টম হ সল ।
tom left me ,টম আম ক ছ ড চল গ য ছ ল।
tom saw her ,টম ত ক দ খল ।
tom saw her ,টম ওক দ খল ।
tom saw her ,টম ওন ক দ খল ।
tom saw him ,টম ত ক দ খল ।
tom saw him ,টম ওক দ খল ।
tom saw him ,টম ওন ক দ খল ।
tom saw you ,টম আপন ক দ খল ।
tom saw you ,টম ত ম ক দ খল ।
tom saw you ,টম আপন দ র দ খল ।
tom saw you ,টম ত ম দ র দ খল ।
tom shouted ,টম চ ক র করল ।
tom shouted ,টম চ চ ল ।
tom s alive ,টম ব চ আছ ।
tom s alone ,টম একল আছ ।
tom s right ,টমই ঠ ক।
tom s tired ,টম ক ল ন ত।
walk slowly ,আস ত হ ট ন।
walk slowly ,আস ত হ ট ।
we are here ,আমর এখ ন আছ ।
we ate eggs ,আমর ড ম খ য ছ ।
we ll dance ,আমর ন চব ।
we re going ,আমর য চ ছ ।
we re twins ,আমর জমজ।
what d i do?,আম ক করল ম?
what s that?,ওট ক ?
what s that?,স ট ক ?
what s this?,এট ক ?
who are you?,আপন ক ?
who are you?,ত ম ক ?
who are you?,ত ই ক ?
whose is it?,এট ক র?
work slowly ,ধ র ধ র ক জ কর ন।
you fainted ,আপন অজ ঞ ন হয গ ছ ল ন।
you fainted ,ত ম অজ ঞ ন হয গ ছ ল ।
anybody here?,ক উ আছ ন?
anybody home?,ব ড ত ক উ আছ ন?
are we ready?,আমর ক ত র ?
are you sick?,আপন ক অস স থ?
are you sick?,ত ম ক অস স থ?
are you sure?,ত ম ন শ চ ত ত ?
are you sure?,আপন ন শ চ ত ত ?
can i use it?,আম ক এট ব যবহ র করত প র ?
can you read?,আপন পড ত প র ন?
can you read?,ত ম পড ত প র ?
come outside ,ব ইর আস ।
come outside ,ব ইর আস ন।
come with me ,আম র স থ এস ।
come with me ,আম র সঙ গ আস ন।
come with me ,আম র সঙ গ আস।
don t scream ,চ ক র করব ন ন !
don t scream ,চ ক র ক র ন !
don t scream ,চ ক র কর স ন !
drive slowly ,আস ত গ ড চ ল ন।
drive slowly ,আস ত গ ড চ ল ও।
